candidate_id,current_title,ai_skill_count,nontech_title,career_titles
CAND_0000021,Project Manager,6,yes,Project Manager | Marketing Manager | Sales Executive | Customer Support
CAND_0000074,Operations Manager,8,yes,Operations Manager
CAND_0000083,Graphic Designer,9,yes,Graphic Designer | Graphic Designer | Customer Support
CAND_0000097,Mechanical Engineer,8,no,Mechanical Engineer | Accountant
CAND_0000120,Graphic Designer,11,yes,Graphic Designer | Accountant | Sales Executive
CAND_0000121,Customer Support,8,yes,Customer Support | Project Manager
CAND_0000212,Customer Support,10,yes,Customer Support | HR Manager | Business Analyst | Business Analyst
CAND_0000322,HR Manager,6,yes,HR Manager | Mechanical Engineer | Accountant | Marketing Manager
CAND_0000344,Business Analyst,10,no,Business Analyst | Graphic Designer
CAND_0000388,HR Manager,8,yes,HR Manager | Operations Manager | Business Analyst
CAND_0000389,Operations Manager,5,yes,Operations Manager | Sales Executive | Civil Engineer
CAND_0000421,Graphic Designer,8,yes,Graphic Designer | HR Manager
CAND_0000498,Content Writer,6,yes,Content Writer | Civil Engineer | Content Writer | Content Writer
CAND_0000541,Business Analyst,9,no,Business Analyst | Marketing Manager | Content Writer | Project Manager
CAND_0000552,Accountant,6,yes,Accountant
CAND_0000671,Project Manager,7,yes,Project Manager | Content Writer
CAND_0000683,Graphic Designer,9,yes,Graphic Designer | Mechanical Engineer
CAND_0000699,Business Analyst,9,no,Business Analyst | Mechanical Engineer
CAND_0000770,Mechanical Engineer,7,no,Mechanical Engineer | Graphic Designer | Civil Engineer | Mechanical Engineer
CAND_0000815,Project Manager,6,yes,Project Manager
CAND_0000821,Mechanical Engineer,8,no,Mechanical Engineer | Project Manager
CAND_0000845,Project Manager,8,yes,Project Manager | Mechanical Engineer | Graphic Designer | Business Analyst
CAND_0000847,HR Manager,10,yes,HR Manager | Mechanical Engineer | Marketing Manager | Operations Manager
CAND_0000875,Accountant,7,yes,Accountant | Graphic Designer
CAND_0000906,Marketing Manager,8,yes,Marketing Manager | Civil Engineer
CAND_0000915,Mechanical Engineer,8,no,Mechanical Engineer | Customer Support | Marketing Manager
CAND_0000921,Sales Executive,9,yes,Sales Executive | Business Analyst | Graphic Designer
CAND_0000927,Civil Engineer,5,no,Civil Engineer | Accountant | Accountant | Civil Engineer
CAND_0000932,Operations Manager,10,yes,Operations Manager | Accountant
CAND_0000987,Sales Executive,6,yes,Sales Executive | Business Analyst
CAND_0000989,Accountant,7,yes,Accountant | Accountant | Mechanical Engineer | Marketing Manager
CAND_0001200,Business Analyst,10,no,Business Analyst | Content Writer | Business Analyst
CAND_0001319,Customer Support,8,yes,Customer Support | Content Writer
CAND_0001347,Customer Support,7,yes,Customer Support | Mechanical Engineer | Graphic Designer | Civil Engineer
CAND_0001363,Sales Executive,5,yes,Sales Executive | Customer Support | Customer Support | Graphic Designer
CAND_0001403,Content Writer,9,yes,Content Writer
CAND_0001406,Business Analyst,8,no,Business Analyst | Sales Executive
CAND_0001450,HR Manager,7,yes,HR Manager | Content Writer | Mechanical Engineer
CAND_0001508,Marketing Manager,7,yes,Marketing Manager | Accountant | Content Writer | Content Writer
CAND_0001511,Accountant,8,yes,Accountant | Graphic Designer | Graphic Designer | Mechanical Engineer
CAND_0001535,Operations Manager,7,yes,Operations Manager
CAND_0001537,Project Manager,10,yes,Project Manager | Civil Engineer
CAND_0001632,Graphic Designer,7,yes,Graphic Designer
CAND_0001673,HR Manager,9,yes,HR Manager | Project Manager
CAND_0001723,Operations Manager,9,yes,Operations Manager
CAND_0001776,Graphic Designer,10,yes,Graphic Designer | Graphic Designer
CAND_0001819,ML Engineer,4,no,ML Engineer | Computer Vision Engineer
CAND_0001842,Sales Executive,7,yes,Sales Executive | Sales Executive
CAND_0001845,Customer Support,10,yes,Customer Support | Accountant
CAND_0001896,Sales Executive,10,yes,Sales Executive
CAND_0001921,Marketing Manager,11,yes,Marketing Manager | Project Manager | Civil Engineer
CAND_0001942,Content Writer,9,yes,Content Writer | Mechanical Engineer | Mechanical Engineer | Accountant
CAND_0001962,Accountant,9,yes,Accountant | HR Manager
CAND_0001999,Marketing Manager,8,yes,Marketing Manager | Content Writer | Graphic Designer
CAND_0002040,HR Manager,6,yes,HR Manager
CAND_0002110,Accountant,10,yes,Accountant | Business Analyst | Sales Executive
CAND_0002112,Customer Support,9,yes,Customer Support | HR Manager
